code,nameEn,nameSi,page,parent
EC-C,Crankcase Emission Control System,ක්‍රැන්ක්කේස් විමෝචන පාලන පද්ධතිය,363,EC
EC-D,Exhaust Emission Control System,නිස්සාරක විමෝචන පාලන පද්ධතිය,364,EC
EC-E,HO2 Sensor Inspection,HO2 සන්සුන් පරීක්ෂාව,365,EC
EC-F,HO2 Sensor Removal And Installation,HO2 සන්සුන් ඉවත් කිරීම සහ ස්ථාපනය,365,EC
EC-G,Noise Emission Control System,ශබ්ද විමෝචන පාලන පද්ධතිය,365,EC
EC-H,PAIR (Air Supply) System And Emission Control System Inspection,PAIR (ගාලන සැපයුම්) පද්ධතිය සහ විමෝචන පාලන පද්ධතිය පරීක්ෂාව,366,EC
EC-I,PAIR Hoses,PAIR හෝස්,366,EC
EC-J,PAIR Reed Valve,PAIR රීඩ් වාල්ව්,366,EC
EC-K,PCV Hose,PCV හෝස්,367,EC
EC-L,PAIR Control Solenoid Valve,PAIR පාලන සොලිනොයිඩ් වාල්ව්,367,EC
EC-M,PAIR (Air Supply) System Diagram,PAIR (ගාලන සැපයුම්) පද්ධති රූපසටහන,369,EC
EC-N,PAIR (Air Supply) System Hose Routing,PAIR (ගාලන සැපයුම්) පද්ධති හෝස් රූටින්,369,EC
WD,Wiring Diagram,වයරිං රූපසටහන,368,
